attempt_id,account_id,borrower_id,event_at,call_id,agent_id,attempt_no,vendor_id,attempt_status
ATTEMPT0000001,ACC0009527,BRW0000705,2026-03-10 21:31:13,CALL0019052,AGT0000685,5,VND0000013,FAILED
ATTEMPT0000002,ACC0007960,BRW0002732,2026-05-01 20:55:02,CALL0011950,AGT0000472,4,VND0000006,CONNECTED
ATTEMPT0000003,ACC0016476,BRW0002174,2026-06-05 20:57:37,CALL0017411,AGT0000035,1,VND0000015,RINGING
ATTEMPT0000004,ACC0011111,BRW0003738,2026-05-02 06:08:39,CALL0068999,AGT0000277,3,VND0000010,FAILED
ATTEMPT0000005,ACC0010343,BRW0003352,2026-05-27 03:48:23,CALL0049585,AGT0000346,5,VND0000008,CONNECTED
ATTEMPT0000006,ACC0014035,BRW0005078,2026-01-07 10:16:57,CALL0007956,AGT0000819,7,VND0000003,NO_ANSWER
ATTEMPT0000007,ACC0011770,BRW0000678,2026-05-20 04:59:57,CALL0086707,AGT0000880,5,VND0000004,NO_ANSWER
ATTEMPT0000008,ACC0016760,BRW0001406,2026-04-10 20:44:44,CALL0007648,AGT0000638,2,VND0000003,NO_ANSWER
ATTEMPT0000009,ACC0000632,BRW0009799,2026-06-16 10:07:43,CALL0020133,AGT0000277,1,VND0000002,NO_ANSWER
ATTEMPT0000010,ACC0024973,BRW0008233,2026-06-16 04:58:32,CALL0029166,AGT0000830,3,VND0000008,BUSY
ATTEMPT0000011,ACC0025069,BRW0008621,2026-06-29 00:57:51,CALL0084328,AGT0000947,3,VND0000005,NO_ANSWER
ATTEMPT0000012,ACC0014145,BRW0008165,2026-05-09 00:05:52,CALL0018742,AGT0000188,2,VND0000002,CONNECTED
ATTEMPT0000013,ACC0027399,BRW0005763,2026-07-19 09:52:38,CALL0065054,AGT0000340,6,VND0000009,RINGING
ATTEMPT0000014,ACC0025466,BRW0010209,2026-02-08 10:45:39,CALL0009146,AGT0000114,4,VND0000010,NO_ANSWER
ATTEMPT0000015,ACC0017598,BRW0001666,2026-07-30 04:57:20,CALL0088445,AGT0000328,5,VND0000006,BUSY
ATTEMPT0000016,ACC0016154,BRW0007315,2026-01-02 09:10:29,CALL0001447,AGT0000884,1,VND0000004,FAILED
ATTEMPT0000017,ACC0000692,BRW0005684,2026-03-27 09:41:46,CALL0072659,AGT0000274,7,VND0000010,FAILED
ATTEMPT0000018,ACC0006611,BRW0007113,2026-05-02 05:18:16,CALL0046105,AGT0000830,6,VND0000006,NO_ANSWER
ATTEMPT0000019,ACC0026239,BRW0008616,2026-03-06 03:21:33,CALL0014743,AGT0000103,5,VND0000006,CONNECTED
ATTEMPT0000020,ACC0016519,BRW0000684,2026-05-24 05:19:14,CALL0050051,AGT0000841,7,VND0000001,FAILED
