disposition_id,account_id,borrower_id,event_at,call_id,agent_id,disposition_code,disposition_version
DISPOSITION0000001,ACC0029208,BRW0006282,2026-03-07 17:30:48,CALL0032272,AGT0000759,CALLBACK,v2
DISPOSITION0000002,ACC0009584,BRW0000540,2026-04-04 11:59:50,CALL0053880,AGT0000085,CALLBACK,legacy
DISPOSITION0000003,ACC0003386,BRW0010257,2026-03-11 01:25:13,CALL0048622,AGT0000319,PROMISE_TO_PAY,v1
DISPOSITION0000004,ACC0027899,BRW0006534,2026-03-17 14:49:43,CALL0072651,AGT0000189,NO_CONTACT,legacy
DISPOSITION0000005,ACC0024345,BRW0001918,2026-03-07 06:07:26,CALL0036866,AGT0000647,PTP,legacy
DISPOSITION0000006,ACC0000656,BRW0010734,2026-05-04 06:12:23,CALL0078106,AGT0000534,CALLBACK,v2
DISPOSITION0000007,ACC0015494,BRW0002011,2026-01-09 16:25:53,CALL0078570,AGT0000755,PAID,v1
DISPOSITION0000008,ACC0009000,BRW0005628,2026-04-03 06:08:13,CALL0042609,AGT0000856,PROMISE_TO_PAY,v1
DISPOSITION0000009,ACC0021766,BRW0011962,2026-07-03 22:35:05,CALL0009101,AGT0000953,PROMISE_TO_PAY,v1
DISPOSITION0000010,ACC0004669,BRW0008936,2026-06-23 04:59:52,CALL0084384,AGT0000413,NO_CONTACT,v2
DISPOSITION0000011,ACC0013600,BRW0007066,2026-07-27 14:39:47,CALL0055668,AGT0000775,NO_CONTACT,v1
DISPOSITION0000012,ACC0010983,BRW0007695,2026-07-06 23:08:25,CALL0003206,AGT0000372,PTP_BROKEN,v2
DISPOSITION0000013,ACC0027105,BRW0004086,2026-04-15 08:18:52,CALL0079412,AGT0000817,WRONG_NUMBER,v2
DISPOSITION0000014,ACC0017044,BRW0006143,2026-05-24 07:19:58,CALL0031590,AGT0000599,NO_CONTACT,legacy
DISPOSITION0000015,ACC0009864,BRW0010261,2026-01-21 19:23:06,CALL0076822,AGT0000822,CALLBACK,legacy
DISPOSITION0000016,ACC0021868,BRW0003158,2026-06-01 17:23:07,CALL0008431,AGT0000825,CALLBACK,v1
DISPOSITION0000017,ACC0026794,BRW0006233,2026-01-26 15:36:15,CALL0062635,AGT0000638,CALLBACK,v1
DISPOSITION0000018,ACC0022190,BRW0006357,2026-04-09 18:54:11,CALL0055779,AGT0000356,NO_CONTACT,v1
DISPOSITION0000019,ACC0007191,BRW0005209,2026-01-18 15:47:17,CALL0056397,AGT0000321,CALLBACK,legacy
DISPOSITION0000020,ACC0022711,BRW0010155,2026-02-02 14:32:55,CALL0054332,AGT0000249,WRONG_NUMBER,legacy
DISPOSITION0000021,ACC0024670,BRW0008180,2026-05-14 20:00:14,CALL0030073,AGT0000472,WRONG_NUMBER,legacy
DISPOSITION0000022,ACC0022093,BRW0004852,2026-06-14 18:35:58,CALL0052253,AGT0000848,CALLBACK,v1
DISPOSITION0000023,ACC0016091,BRW0008724,2026-02-01 11:58:25,CALL0016839,AGT0000666,PROMISE_TO_PAY,v2
DISPOSITION0000024,ACC0011315,BRW0009296,2026-06-30 06:36:53,CALL0009072,AGT0000855,DISPUTE,v1
DISPOSITION0000025,ACC0028887,BRW0003374,2026-03-30 21:31:22,CALL0075594,AGT0000312,NO_CONTACT,v2
DISPOSITION0000026,ACC0001293,BRW0002822,2026-02-20 09:09:48,CALL0073492,AGT0000360,PTP_BROKEN,v1
DISPOSITION0000027,ACC0010709,BRW0011404,2026-01-31 21:34:40,CALL0020870,AGT0000369,CALLBACK,legacy
DISPOSITION0000028,ACC0011440,BRW0003627,2026-02-07 04:13:39,CALL0043077,AGT0000768,CALLBACK,legacy
DISPOSITION0000029,ACC0014278,BRW0004498,2026-01-09 21:43:45,CALL0035494,AGT0000416,PTP,v2
DISPOSITION0000030,ACC0006716,BRW0003948,2026-03-13 22:45:41,CALL0056136,AGT0000616,REFUSED,v2
DISPOSITION0000031,ACC0013902,BRW0009358,2026-02-21 13:46:07,CALL0008982,AGT0000806,PROMISE_TO_PAY,v1
DISPOSITION0000032,ACC0015029,BRW0002941,2026-02-23 09:04:14,CALL0070541,AGT0000162,DISPUTE,v2
