call_id,account_id,borrower_id,event_at,agent_id,campaign_id,direction,vendor_id,call_status,duration_sec,timezone
CALL0000001,ACC0011505,BRW0007139,2026-07-15 15:36:22,AGT0000955,CMP0000015,OUTBOUND,VND0000013,NO_ANSWER,601,Asia/Dubai
CALL0000002,ACC0002025,BRW0006253,2026-06-10 06:48:27,AGT0000853,CMP0000060,OUTBOUND,VND0000001,ANSWERED,224,Asia/Kolkata
CALL0000003,ACC0013375,BRW0007663,2026-04-07 00:35:35,AGT0000525,CMP0000060,OUTBOUND,VND0000008,FAILED,7,Asia/Dubai
CALL0000004,ACC0021534,BRW0008873,2026-02-12 14:16:57,AGT0000945,CMP0000060,OUTBOUND,VND0000001,VOICEMAIL,896,Asia/Dubai
CALL0000005,ACC0018502,BRW0004996,2026-05-24 15:33:12,AGT0000966,CMP0000053,OUTBOUND,VND0000006,ANSWERED,711,Asia/Kolkata
CALL0000006,ACC0011855,BRW0010726,2026-02-04 11:37:08,AGT0000864,CMP0000082,OUTBOUND,VND0000011,NO_ANSWER,18,Asia/Dubai
CALL0000007,ACC0027278,BRW0005268,2026-02-10 10:59:05,AGT0000524,CMP0000001,OUTBOUND,VND0000009,VOICEMAIL,825,Asia/Kolkata
CALL0000008,ACC0007144,BRW0001246,2026-06-14 23:37:56,AGT0000615,CMP0000115,OUTBOUND,VND0000003,VOICEMAIL,437,Asia/Dubai
CALL0000009,ACC0003902,BRW0010076,2026-03-17 16:24:42,AGT0000585,CMP0000090,OUTBOUND,VND0000012,VOICEMAIL,318,UTC
CALL0000010,ACC0009188,BRW0010503,2026-06-24 04:26:34,AGT0000238,CMP0000092,OUTBOUND,VND0000014,ANSWERED,260,UTC
CALL0000011,ACC0008811,BRW0000960,2026-07-23 14:50:00,AGT0000071,CMP0000098,OUTBOUND,VND0000011,NO_ANSWER,115,Asia/Dubai
CALL0000012,ACC0012258,BRW0003468,2026-02-12 20:40:45,AGT0000014,CMP0000107,INBOUND,VND0000008,BUSY,589,UTC
CALL0000013,ACC0014154,BRW0006698,2026-05-30 17:57:19,AGT0000298,CMP0000074,INBOUND,VND0000012,VOICEMAIL,809,Asia/Dubai
CALL0000014,ACC0007396,BRW0005478,2026-01-10 17:09:15,AGT0000992,CMP0000098,OUTBOUND,VND0000008,VOICEMAIL,536,Asia/Dubai
CALL0000015,ACC0003819,BRW0010032,2026-06-13 22:35:10,AGT0000630,CMP0000028,OUTBOUND,VND0000007,FAILED,782,Asia/Dubai
CALL0000016,ACC0004194,BRW0007276,2026-01-01 10:44:31,AGT0000270,CMP0000078,OUTBOUND,VND0000012,FAILED,479,UTC
CALL0000017,ACC0000324,BRW0009995,2026-01-21 16:48:34,AGT0000198,CMP0000048,OUTBOUND,VND0000009,NO_ANSWER,772,Asia/Dubai
CALL0000018,ACC0000064,BRW0011457,2026-04-28 11:02:01,AGT0000040,CMP0000068,OUTBOUND,VND0000003,FAILED,230,UTC
CALL0000019,ACC0021121,BRW0005251,2026-01-05 08:28:07,AGT0000018,CMP0000033,OUTBOUND,VND0000013,VOICEMAIL,399,Asia/Kolkata
CALL0000020,ACC0017100,BRW0009052,2026-04-26 16:31:37,AGT0000641,CMP0000108,OUTBOUND,VND0000012,BUSY,354,UTC
CALL0000021,ACC0028579,BRW0006503,2026-02-14 04:38:51,AGT0000613,CMP0000009,OUTBOUND,VND0000001,VOICEMAIL,63,Asia/Kolkata
CALL0000022,ACC0009881,BRW0008929,2026-08-05 05:55:16,AGT0000842,CMP0000019,OUTBOUND,VND0000001,VOICEMAIL,289,Asia/Kolkata
CALL0000023,ACC0005656,BRW0006248,2026-07-11 16:42:23,AGT0000862,CMP0000096,OUTBOUND,VND0000007,NO_ANSWER,537,Asia/Kolkata
CALL0000024,ACC0020634,BRW0005033,2026-08-04 17:24:59,AGT0000905,CMP0000076,INBOUND,VND0000005,VOICEMAIL,807,Asia/Dubai
CALL0000025,ACC0004249,BRW0002761,2026-06-19 04:18:04,AGT0000638,CMP0000050,INBOUND,VND0000015,FAILED,519,Asia/Dubai
CALL0000026,ACC0002738,BRW0003702,2026-04-08 22:43:02,AGT0000454,CMP0000104,OUTBOUND,VND0000003,ANSWERED,147,Asia/Dubai
CALL0000027,ACC0002663,BRW0007883,2026-01-18 12:26:51,AGT0000841,CMP0000017,OUTBOUND,VND0000005,BUSY,453,Asia/Kolkata
CALL0000028,ACC0013665,BRW0011459,2026-04-28 20:47:37,AGT0000018,CMP0000006,OUTBOUND,VND0000002,FAILED,659,Asia/Kolkata
CALL0000029,ACC0022130,BRW0011674,2026-03-24 00:14:47,AGT0000865,CMP0000055,OUTBOUND,VND0000015,FAILED,46,Asia/Dubai
CALL0000030,ACC0015282,BRW0007845,2026-06-18 19:24:12,AGT0000850,CMP0000089,OUTBOUND,VND0000008,FAILED,749,UTC
CALL0000031,ACC0029780,BRW0004398,2026-02-09 19:57:02,AGT0000316,CMP0000001,OUTBOUND,VND0000010,BUSY,806,UTC
CALL0000032,ACC0010981,BRW0009494,2026-03-29 20:46:57,AGT0000789,CMP0000074,OUTBOUND,VND0000005,FAILED,719,Asia/Kolkata
CALL0000033,ACC0020302,BRW0010171,2026-04-26 20:30:26,AGT0000315,CMP0000046,OUTBOUND,VND0000013,VOICEMAIL,44,Asia/Dubai
CALL0000034,ACC0007010,BRW0004684,2026-01-13 07:21:05,AGT0000489,CMP0000035,OUTBOUND,VND0000014,FAILED,335,Asia/Kolkata
CALL0000035,ACC0024768,BRW0007892,2026-06-12 05:33:37,AGT0000268,CMP0000109,OUTBOUND,VND0000012,ANSWERED,827,Asia/Kolkata
CALL0000036,ACC0025120,BRW0004094,2026-04-23 22:06:26,AGT0000515,CMP0000068,OUTBOUND,VND0000012,BUSY,737,Asia/Kolkata
CALL0000037,ACC0009696,BRW0003238,2026-04-20 01:18:52,AGT0000787,CMP0000010,OUTBOUND,VND0000011,BUSY,47,Asia/Kolkata
CALL0000038,ACC0003044,BRW0009956,2026-01-17 19:04:20,AGT0000059,CMP0000051,INBOUND,VND0000011,VOICEMAIL,487,UTC
CALL0000039,ACC0012935,BRW0008063,2026-04-28 03:56:21,AGT0000613,CMP0000062,OUTBOUND,VND0000008,BUSY,681,Asia/Kolkata
CALL0000040,ACC0018788,BRW0003659,2026-07-09 10:23:27,AGT0000172,CMP0000007,OUTBOUND,VND0000007,VOICEMAIL,299,UTC
CALL0000041,ACC0008263,BRW0001425,2026-01-05 17:53:57,AGT0000108,CMP0000050,OUTBOUND,VND0000005,ANSWERED,298,Asia/Dubai
CALL0000042,ACC0001605,BRW0008707,2026-06-20 19:03:46,AGT0000887,CMP0000055,OUTBOUND,VND0000005,FAILED,467,UTC
CALL0000043,ACC0023026,BRW0000740,2026-03-05 03:21:54,AGT0000081,CMP0000011,OUTBOUND,VND0000002,NO_ANSWER,786,Asia/Dubai
CALL0000044,ACC0008487,BRW0000218,2026-01-01 20:35:27,AGT0000271,CMP0000051,OUTBOUND,VND0000002,NO_ANSWER,353,Asia/Kolkata
CALL0000045,ACC0000606,BRW0009525,2026-02-16 06:10:11,,CMP0000095,OUTBOUND,VND0000002,FAILED,156,Asia/Kolkata
CALL0000046,ACC0008985,BRW0006195,2026-08-02 14:41:22,AGT0000578,CMP0000099,OUTBOUND,VND0000002,VOICEMAIL,263,Asia/Dubai
CALL0000047,ACC0004659,BRW0004843,2026-03-31 09:36:09,AGT0000190,CMP0000014,OUTBOUND,VND0000007,FAILED,55,Asia/Kolkata
CALL0000048,ACC0012134,BRW0005819,2026-02-07 04:04:49,AGT0000446,CMP0000072,OUTBOUND,VND0000004,ANSWERED,882,UTC
CALL0000049,ACC0016678,BRW0005102,2026-05-05 04:32:55,AGT0000144,CMP0000062,OUTBOUND,VND0000001,NO_ANSWER,747,Asia/Kolkata
CALL0000050,ACC0025237,BRW0005568,2026-04-24 23:15:21,AGT0000269,CMP0000020,OUTBOUND,VND0000004,ANSWERED,337,UTC
CALL0000051,ACC0027424,BRW0007657,2026-05-21 03:10:57,AGT0000454,CMP0000031,OUTBOUND,VND0000002,VOICEMAIL,82,Asia/Dubai
CALL0000052,ACC0001834,BRW0007564,2026-04-07 14:27:38,AGT0000360,CMP0000020,OUTBOUND,VND0000012,NO_ANSWER,706,Asia/Kolkata
CALL0000053,ACC0017503,BRW0000835,2026-05-12 22:43:38,AGT0000301,CMP0000008,OUTBOUND,VND0000002,ANSWERED,848,Asia/Kolkata
CALL0000054,ACC0029981,BRW0008565,2026-07-08 17:08:17,AGT0000755,CMP0000114,OUTBOUND,VND0000001,FAILED,582,Asia/Dubai
CALL0000055,ACC0017849,BRW0009870,2026-05-25 00:30:29,AGT0000071,CMP0000051,INBOUND,VND0000015,ANSWERED,607,UTC
CALL0000056,ACC0008085,BRW0007352,2026-05-06 18:18:42,AGT0000549,CMP0000087,OUTBOUND,VND0000008,ANSWERED,665,Asia/Kolkata
CALL0000057,ACC0016026,BRW0007818,2026-04-11 19:47:42,AGT0000745,CMP0000074,INBOUND,VND0000009,NO_ANSWER,154,Asia/Dubai
CALL0000058,ACC0019088,BRW0002874,2026-03-25 11:39:26,AGT0000127,CMP0000116,OUTBOUND,VND0000008,ANSWERED,867,UTC
CALL0000059,ACC0004837,BRW0001292,2026-08-06 11:12:55,AGT0000536,CMP0000111,INBOUND,VND0000007,FAILED,597,UTC
CALL0000060,ACC0023992,BRW0011158,2026-01-02 05:37:04,AGT0000942,CMP0000002,OUTBOUND,VND0000015,VOICEMAIL,416,UTC
