campaign_id,campaign_name,channel,strategy_version,start_at,target_definition,end_at
CMP0000001,DIGITAL_FOLLOWUP,FIELD,legacy,2026-02-17 06:56:01,DPD>=30,2026-04-24 06:56:01
CMP0000002,BOUNCE,MIXED,v2,2026-04-30 17:51:31,DPD>=60,2026-05-18 17:51:31
CMP0000003,30DPD_W1,MIXED,v1,2026-04-11 16:02:51,DPD>=30,2026-05-18 16:02:51
CMP0000004,BOUNCE,VOICE,legacy,2026-04-28 06:15:30,DPD>=60,2026-05-29 06:15:30
CMP0000005,60DPD_INTENT,WHATSAPP,legacy,2026-05-04 04:16:21,DPD>=60,2026-07-08 04:16:21
CMP0000006,BOUNCE,MIXED,legacy,2026-01-23 09:30:10,DPD>=60,2026-04-13 09:30:10
CMP0000007,DIGITAL_FOLLOWUP,MIXED,v2,2026-02-14 15:20:05,PROMISE_BROKEN,2026-04-22 15:20:05
CMP0000008,NPA_RECOVERY,SMS,v2,2026-05-21 10:58:25,PROMISE_BROKEN,2026-06-27 10:58:25
CMP0000009,60DPD_INTENT,WHATSAPP,v1,2026-04-18 15:47:29,HIGH_RISK,2026-06-07 15:47:29
CMP0000010,30DPD_W1,FIELD,v1,2026-02-14 13:09:24,DPD>=30,2026-04-30 13:09:24
CMP0000011,NPA_RECOVERY,WHATSAPP,v3,2026-04-25 20:04:28,HIGH_RISK,2026-05-11 20:04:28
CMP0000012,NPA_RECOVERY,WHATSAPP,v1,2026-01-25 09:30:00,DPD>=60,2026-04-09 09:30:00
CMP0000013,30DPD_W1,VOICE,v2,2026-02-11 05:46:54,NPA,2026-03-14 05:46:54
CMP0000014,NPA_RECOVERY,SMS,v1,2026-01-08 18:14:10,DPD>=30,2026-02-13 18:14:10
CMP0000015,DIGITAL_FOLLOWUP,FIELD,v3,2026-01-15 11:24:07,DPD>=60,2026-01-22 11:24:07
CMP0000016,NPA_RECOVERY,MIXED,v1,2026-01-03 16:12:01,NPA,2026-02-10 16:12:01
CMP0000017,NPA_RECOVERY,MIXED,v3,2026-04-04 07:20:05,HIGH_RISK,2026-04-13 07:20:05
CMP0000018,60DPD_INTENT,SMS,legacy,2026-03-18 01:50:57,DPD>=60,2026-03-27 01:50:57
CMP0000019,NPA_RECOVERY,WHATSAPP,v1,2026-01-02 07:31:38,PROMISE_BROKEN,2026-03-31 07:31:38
CMP0000020,NPA_RECOVERY,WHATSAPP,v3,2026-05-29 18:13:39,PROMISE_BROKEN,2026-08-16 18:13:39
CMP0000021,NPA_RECOVERY,FIELD,legacy,2026-03-06 23:00:21,DPD>=60,2026-04-27 23:00:21
CMP0000022,60DPD_INTENT,VOICE,v3,2026-02-14 11:32:48,PROMISE_BROKEN,2026-02-22 11:32:48
CMP0000023,BOUNCE,VOICE,v2,2026-03-23 05:03:48,NPA,2026-04-07 05:03:48
CMP0000024,NPA_RECOVERY,SMS,legacy,2026-04-13 11:03:05,NPA,2026-05-20 11:03:05
CMP0000025,30DPD_W1,FIELD,legacy,2026-02-27 19:43:17,HIGH_RISK,2026-03-09 19:43:17
CMP0000026,30DPD_W1,FIELD,legacy,2026-04-13 11:42:06,DPD>=60,2026-06-03 11:42:06
CMP0000027,BOUNCE,VOICE,legacy,2026-05-06 14:37:12,DPD>=30,2026-06-18 14:37:12
CMP0000028,30DPD_W1,SMS,legacy,2026-01-28 06:41:32,HIGH_RISK,2026-02-22 06:41:32
CMP0000029,60DPD_INTENT,MIXED,v1,2026-01-30 21:23:04,NPA,2026-04-21 21:23:04
CMP0000030,30DPD_W1,SMS,v2,2026-02-25 09:36:33,PROMISE_BROKEN,2026-05-16 09:36:33
CMP0000031,30DPD_W1,VOICE,v3,2026-03-03 00:32:23,NPA,2026-03-12 00:32:23
CMP0000032,NPA_RECOVERY,MIXED,v2,2026-03-12 04:07:43,DPD>=30,2026-03-22 04:07:43
CMP0000033,DIGITAL_FOLLOWUP,WHATSAPP,legacy,2026-04-18 05:20:08,DPD>=30,2026-06-10 05:20:08
CMP0000034,DIGITAL_FOLLOWUP,VOICE,v3,2026-03-21 17:20:59,NPA,2026-05-02 17:20:59
CMP0000035,30DPD_W1,MIXED,legacy,2026-02-01 21:10:43,DPD>=30,2026-04-21 21:10:43
CMP0000036,30DPD_W1,SMS,v1,2026-04-11 15:43:53,NPA,2026-06-23 15:43:53
CMP0000037,BOUNCE,SMS,v2,2026-03-07 11:13:43,DPD>=60,2026-04-26 11:13:43
