target_id,account_id,campaign_id,target_date,priority,recommended_channel,status
TGT0000001,ACC0028555,CMP0000103,2026-04-22,4,FIELD,QUEUED
TGT0000002,ACC0007194,CMP0000100,2026-08-06,10,SMS,EXPIRED
TGT0000003,ACC0029550,CMP0000074,2026-05-20,5,SMS,CONTACTED
TGT0000004,ACC0012329,CMP0000046,2026-07-30,10,WHATSAPP,QUEUED
TGT0000005,ACC0018387,CMP0000118,2026-07-10,7,WHATSAPP,EXPIRED
TGT0000006,ACC0002016,CMP0000024,2026-03-07,6,FIELD,QUEUED
TGT0000007,ACC0019181,CMP0000038,2026-04-20,7,SMS,QUEUED
TGT0000008,ACC0004874,CMP0000107,2026-02-19,1,FIELD,EXPIRED
TGT0000009,ACC0012866,CMP0000109,2026-06-07,8,SMS,CONTACTED
TGT0000010,ACC0027621,CMP0000092,2026-06-07,8,WHATSAPP,SKIPPED
TGT0000011,ACC0016883,CMP0000119,2026-06-08,6,FIELD,EXPIRED
TGT0000012,ACC0018474,CMP0000008,2026-06-19,9,FIELD,CONTACTED
TGT0000013,ACC0019970,CMP0000081,2026-07-18,6,FIELD,QUEUED
TGT0000014,ACC0013902,CMP0000001,2026-07-18,9,WHATSAPP,EXPIRED
TGT0000015,ACC0000665,CMP0000068,2026-07-05,9,FIELD,SKIPPED
TGT0000016,ACC0008206,CMP0000113,2026-06-27,8,FIELD,CONTACTED
TGT0000017,ACC0005262,CMP0000002,2026-02-13,10,VOICE,QUEUED
TGT0000018,ACC0011994,CMP0000078,2026-01-22,4,FIELD,QUEUED
TGT0000019,ACC0001320,CMP0000119,2026-06-21,7,VOICE,EXPIRED
TGT0000020,ACC0023988,CMP0000058,2026-01-18,6,WHATSAPP,SKIPPED
TGT0000021,ACC0002648,CMP0000094,2026-02-05,3,WHATSAPP,SKIPPED
TGT0000022,ACC0018769,CMP0000014,2026-05-24,10,VOICE,CONTACTED
TGT0000023,ACC0024825,CMP0000013,2026-03-17,3,SMS,CONTACTED
TGT0000024,ACC0003886,CMP0000102,2026-03-06,9,VOICE,SKIPPED
TGT0000025,ACC0010488,CMP0000064,2026-04-01,5,WHATSAPP,CONTACTED
TGT0000026,ACC0015499,CMP0000081,2026-03-18,5,WHATSAPP,CONTACTED
TGT0000027,ACC0006767,CMP0000094,2026-02-06,2,SMS,CONTACTED
TGT0000028,ACC0011937,CMP0000002,2026-04-27,5,WHATSAPP,EXPIRED
TGT0000029,ACC0018191,CMP0000032,2026-07-09,7,SMS,CONTACTED
TGT0000030,ACC0002524,CMP0000088,2026-04-05,7,WHATSAPP,CONTACTED
TGT0000031,ACC0022003,CMP0000102,2026-03-18,3,FIELD,EXPIRED
TGT0000032,ACC0017042,CMP0000014,2026-07-18,5,VOICE,EXPIRED
TGT0000033,ACC0016678,CMP0000082,2026-05-02,6,SMS,SKIPPED
TGT0000034,ACC0000003,CMP0000022,2026-06-09,9,VOICE,EXPIRED
TGT0000035,ACC0008900,CMP0000008,2026-01-13,9,VOICE,CONTACTED
TGT0000036,ACC0017795,CMP0000118,2026-04-10,3,FIELD,CONTACTED
TGT0000037,ACC0003514,CMP0000112,2026-07-08,4,SMS,SKIPPED
TGT0000038,ACC0022525,CMP0000044,2026-06-24,1,VOICE,EXPIRED
TGT0000039,ACC0016166,CMP0000089,2026-02-18,4,FIELD,CONTACTED
TGT0000040,ACC0024253,CMP0000045,2026-05-05,2,FIELD,QUEUED
TGT0000041,ACC0025998,CMP0000050,2026-01-22,3,VOICE,CONTACTED
TGT0000042,ACC0005430,CMP0000083,2026-05-07,5,FIELD,CONTACTED
TGT0000043,ACC0002062,CMP0000071,2026-04-08,3,SMS,EXPIRED
TGT0000044,ACC0011850,CMP0000099,2026-03-22,4,FIELD,SKIPPED
TGT0000045,ACC0023119,CMP0000115,2026-05-31,9,FIELD,EXPIRED
TGT0000046,ACC0018563,CMP0000098,2026-04-10,10,WHATSAPP,QUEUED
TGT0000047,ACC0008956,CMP0000008,2026-02-21,2,WHATSAPP,CONTACTED
TGT0000048,ACC0019228,CMP0000110,2026-07-12,7,VOICE,SKIPPED
TGT0000049,ACC0027198,CMP0000030,2026-07-15,6,FIELD,SKIPPED
TGT0000050,ACC0016159,CMP0000105,2026-03-25,4,FIELD,CONTACTED
TGT0000051,ACC0023274,CMP0000091,2026-02-15,9,FIELD,CONTACTED
TGT0000052,ACC0028990,CMP0000063,2026-03-12,10,WHATSAPP,EXPIRED
TGT0000053,ACC0006494,CMP0000085,2026-05-27,1,WHATSAPP,QUEUED
TGT0000054,ACC0003801,CMP0000091,2026-01-10,6,WHATSAPP,CONTACTED
TGT0000055,ACC0022083,CMP0000080,2026-06-14,7,WHATSAPP,CONTACTED
TGT0000056,ACC0013235,CMP0000060,2026-03-01,9,WHATSAPP,QUEUED
TGT0000057,ACC0026673,CMP0000012,2026-07-25,2,WHATSAPP,CONTACTED
TGT0000058,ACC0011665,CMP0000016,2026-05-09,7,SMS,QUEUED
TGT0000059,ACC0000096,CMP0000028,2026-08-03,1,VOICE,QUEUED
TGT0000060,ACC0005100,CMP0000066,2026-07-10,9,SMS,SKIPPED
TGT0000061,ACC0027221,CMP0000006,2026-02-20,6,FIELD,QUEUED
TGT0000062,ACC0014935,CMP0000024,2026-04-20,4,FIELD,CONTACTED
TGT0000063,ACC0028236,CMP0000117,2026-02-02,2,WHATSAPP,SKIPPED
TGT0000064,ACC0027869,CMP0000113,2026-03-13,2,SMS,QUEUED
TGT0000065,ACC0028757,CMP0000010,2026-08-01,3,VOICE,CONTACTED
TGT0000066,ACC0018568,CMP0000112,2026-07-25,1,WHATSAPP,CONTACTED
TGT0000067,ACC0008533,CMP0000112,2026-07-21,7,WHATSAPP,EXPIRED
TGT0000068,ACC0020808,CMP0000032,2026-01-04,8,WHATSAPP,SKIPPED
TGT0000069,ACC0020265,CMP0000083,2026-01-31,5,WHATSAPP,SKIPPED
TGT0000070,ACC0022262,CMP0000029,2026-04-09,3,VOICE,QUEUED
TGT0000071,ACC0026502,CMP0000038,2026-02-14,10,VOICE,CONTACTED
TGT0000072,ACC0001249,CMP0000083,2026-07-30,8,FIELD,EXPIRED
TGT0000073,ACC0027097,CMP0000077,2026-01-09,2,VOICE,CONTACTED
TGT0000074,ACC0015539,CMP0000119,2026-05-19,3,SMS,QUEUED
TGT0000075,ACC0029493,CMP0000102,2026-02-23,10,VOICE,QUEUED
TGT0000076,ACC0013701,CMP0000075,2026-06-30,5,FIELD,SKIPPED
TGT0000077,ACC0006977,CMP0000090,2026-06-18,4,FIELD,EXPIRED
TGT0000078,ACC0025217,CMP0000016,2026-07-24,1,VOICE,QUEUED
TGT0000079,ACC0000835,CMP0000051,2026-07-04,6,SMS,CONTACTED
TGT0000080,ACC0002355,CMP0000009,2026-01-14,8,VOICE,CONTACTED
TGT0000081,ACC0016460,CMP0000113,2026-03-02,8,VOICE,QUEUED
TGT0000082,ACC0024880,CMP0000088,2026-03-27,4,VOICE,SKIPPED
TGT0000083,ACC0024370,CMP0000082,2026-04-22,3,WHATSAPP,SKIPPED
TGT0000084,ACC0017364,CMP0000002,2026-02-08,1,FIELD,SKIPPED
TGT0000085,ACC0017983,CMP0000120,2026-05-16,2,FIELD,QUEUED
TGT0000086,ACC0009119,CMP0000015,2026-01-31,5,WHATSAPP,SKIPPED
TGT0000087,ACC0015518,CMP0000004,2026-02-05,9,FIELD,CONTACTED
TGT0000088,ACC0010125,CMP0000028,2026-04-03,9,SMS,CONTACTED
TGT0000089,ACC0025125,CMP0000011,2026-05-06,8,SMS,CONTACTED
TGT0000090,ACC0007438,CMP0000010,2026-07-31,7,VOICE,QUEUED
TGT0000091,ACC0017916,CMP0000017,2026-05-21,1,WHATSAPP,SKIPPED
TGT0000092,ACC0024142,CMP0000120,2026-07-27,10,FIELD,QUEUED
TGT0000093,ACC0029370,CMP0000095,2026-03-06,7,WHATSAPP,QUEUED
TGT0000094,ACC0027087,CMP0000114,2026-01-04,10,SMS,CONTACTED
TGT0000095,ACC0009149,CMP0000058,2026-02-02,3,WHATSAPP,SKIPPED
TGT0000096,ACC0002860,CMP0000042,2026-03-26,2,FIELD,CONTACTED
TGT0000097,ACC0019966,CMP0000105,2026-04-08,6,SMS,QUEUED
TGT0000098,ACC0021939,CMP0000029,2026-03-09,10,SMS,CONTACTED
TGT0000099,ACC0019711,CMP0000118,2026-02-02,10,SMS,CONTACTED
