dataset,column,dtype
borrowers,borrower_id,object
borrowers,name,object
borrowers,phone,object
borrowers,email,object
borrowers,city,object
borrowers,created_at,datetime64[ns]
borrowers,updated_at,datetime64[ns]
borrowers,state,object
accounts,account_id,object
accounts,borrower_id,object
accounts,loan_type,object
accounts,principal_amount,float64
accounts,outstanding_amount,float64
accounts,dpd,int64
accounts,risk_segment,object
accounts,status,object
accounts,opened_at,datetime64[ns]
accounts,timezone,object
accounts,schema_version,object
agents,agent_id,object
agents,employee_code,object
agents,agent_name,object
agents,vendor_id,object
agents,team,object
agents,status,object
agents,joined_at,datetime64[ns]
agents,updated_at,datetime64[ns]
agent_sessions,session_id,object
agent_sessions,agent_id,object
agent_sessions,login_at,datetime64[ns]
agent_sessions,channel,object
agent_sessions,device_id,object
agent_sessions,timezone,object
agent_sessions,logout_at,datetime64[ns]
campaigns,campaign_id,object
campaigns,campaign_name,object
campaigns,channel,object
campaigns,strategy_version,object
campaigns,start_at,datetime64[ns]
campaigns,target_definition,object
campaigns,end_at,datetime64[ns]
daily_targeting,target_id,object
daily_targeting,account_id,object
daily_targeting,campaign_id,object
daily_targeting,target_date,datetime64[ns]
daily_targeting,priority,int64
daily_targeting,recommended_channel,object
daily_targeting,status,object
calls,call_id,object
calls,account_id,object
calls,borrower_id,object
calls,event_at,datetime64[ns]
calls,agent_id,object
calls,campaign_id,object
calls,direction,object
calls,vendor_id,object
calls,call_status,object
calls,duration_sec,int64
calls,timezone,object
call_attempts,attempt_id,object
call_attempts,account_id,object
call_attempts,borrower_id,object
call_attempts,event_at,datetime64[ns]
call_attempts,call_id,object
call_attempts,agent_id,object
call_attempts,attempt_no,int64
call_attempts,vendor_id,object
call_attempts,attempt_status,object
call_dispositions,disposition_id,object
call_dispositions,account_id,object
call_dispositions,borrower_id,object
call_dispositions,event_at,datetime64[ns]
call_dispositions,call_id,object
call_dispositions,agent_id,object
call_dispositions,disposition_code,object
call_dispositions,disposition_version,object
whatsapp_events,whatsapp_event_id,object
whatsapp_events,account_id,object
whatsapp_events,borrower_id,object
whatsapp_events,event_at,datetime64[ns]
whatsapp_events,message_id,object
whatsapp_events,event_type,object
whatsapp_events,template_code,object
whatsapp_events,provider_id,object
sms_events,sms_event_id,object
sms_events,account_id,object
sms_events,borrower_id,object
sms_events,event_at,datetime64[ns]
sms_events,message_id,object
sms_events,event_type,object
sms_events,template_code,object
sms_events,provider_id,object
field_visits,visit_id,object
field_visits,account_id,object
field_visits,borrower_id,object
field_visits,event_at,datetime64[ns]
field_visits,agent_id,object
field_visits,visit_type,object
field_visits,outcome,object
field_visits,latitude,float64
field_visits,longitude,float64
field_visits,scheduled_at,datetime64[ns]
promises_to_pay,ptp_id,object
promises_to_pay,account_id,object
promises_to_pay,borrower_id,object
promises_to_pay,event_at,datetime64[ns]
promises_to_pay,agent_id,object
promises_to_pay,promised_amount,float64
promises_to_pay,promised_date,datetime64[ns]
promises_to_pay,status,object
promises_to_pay,source,object
payments,payment_id,object
payments,account_id,object
payments,borrower_id,object
payments,event_at,datetime64[ns]
payments,payment_reference,object
payments,amount,float64
payments,payment_status,object
payments,payment_method,object
payments,provider_id,object
vendor_telephony,vendor_id,object
vendor_telephony,vendor_name,object
vendor_telephony,vendor_account_id,object
vendor_telephony,timezone,object
vendor_telephony,status,object
vendor_telephony,schema_version,object
complaints,complaint_id,object
complaints,account_id,object
complaints,borrower_id,object
complaints,event_at,datetime64[ns]
complaints,complaint_type,object
complaints,severity,object
complaints,status,object
complaints,source,object
complaints,resolution_at,datetime64[ns]
account_status_history,history_id,object
account_status_history,account_id,object
account_status_history,borrower_id,object
account_status_history,event_at,datetime64[ns]
account_status_history,status,object
account_status_history,changed_by,object
account_status_history,source,object
account_status_history,recorded_at,datetime64[ns]
