payment_id,account_id,borrower_id,event_at,payment_reference,amount,payment_status,payment_method,provider_id
PAYMENT0000001,ACC0015539,BRW0011363,2026-02-27 01:28:12,TXN0000007457,22433.23,FAILED,CARD,VND0000001
PAYMENT0000002,ACC0004445,BRW0011306,2026-07-23 20:25:20,TXN0000030016,23295.11,FAILED,UPI,VND0000004
PAYMENT0000003,ACC0003853,BRW0002549,2026-01-11 21:27:46,TXN0000010466,118814.97,FAILED,NACH,VND0000013
PAYMENT0000004,ACC0017531,BRW0006618,2026-06-16 02:35:21,TXN0000031781,145082.17,REVERSED,CASH,VND0000013
PAYMENT0000005,ACC0001770,BRW0011492,2026-03-03 06:08:23,TXN0000059257,115148.46,SUCCESS,NETBANKING,VND0000013
PAYMENT0000006,ACC0002408,BRW0009136,2026-05-25 10:59:51,TXN0000052202,142468.84,SUCCESS,CARD,VND0000012
PAYMENT0000007,ACC0017147,BRW0004710,2026-05-08 11:45:34,TXN0000050767,79641.72,SUCCESS,NETBANKING,VND0000008
PAYMENT0000008,ACC0027360,BRW0008644,2026-01-16 08:37:42,TXN0000061682,80638.15,SUCCESS,CARD,VND0000009
PAYMENT0000009,ACC0005092,BRW0003019,2026-03-31 08:11:38,TXN0000046720,75028.44,SUCCESS,CASH,VND0000003
PAYMENT0000010,ACC0011343,BRW0010947,2026-07-20 20:51:33,TXN0000031163,80004.84,SUCCESS,UPI,VND0000005
PAYMENT0000011,ACC0022813,BRW0011517,2026-06-13 10:49:29,TXN0000066098,27561.35,SUCCESS,UPI,VND0000010
PAYMENT0000012,ACC0008138,BRW0000540,2026-03-13 17:05:25,TXN0000046491,116971.89,REVERSED,NETBANKING,VND0000001
PAYMENT0000013,ACC0026504,BRW0009822,2026-05-06 22:30:42,,41543.11,SUCCESS,CARD,VND0000013
PAYMENT0000014,ACC0017077,BRW0011703,2026-03-08 16:59:47,TXN0000065948,12762.88,SUCCESS,NETBANKING,VND0000009
PAYMENT0000015,ACC0003730,BRW0000271,2026-01-25 08:23:30,TXN0000012250,15237.53,SUCCESS,CARD,VND0000003
PAYMENT0000016,ACC0005478,BRW0009233,2026-06-30 06:27:32,TXN0000030836,128395.49,SUCCESS,UPI,VND0000015
PAYMENT0000017,ACC0025191,BRW0000862,2026-06-02 12:36:12,TXN0000034871,112272.64,SUCCESS,NETBANKING,VND0000011
PAYMENT0000018,ACC0000379,BRW0002519,2026-06-15 08:11:44,TXN0000063434,18292.79,SUCCESS,NACH,VND0000008
PAYMENT0000019,ACC0028404,BRW0011115,2026-02-19 22:42:24,TXN0000040964,102897.37,SUCCESS,NETBANKING,VND0000015
PAYMENT0000020,ACC0022251,BRW0011071,2026-01-10 19:06:03,TXN0000027006,144661.69,REVERSED,CARD,VND0000003
PAYMENT0000021,ACC0021407,BRW0000136,2026-05-06 06:27:56,TXN0000066590,145099.11,SUCCESS,NACH,VND0000003
PAYMENT0000022,ACC0013552,BRW0009466,2026-07-04 23:55:34,TXN0000057611,46845.47,PENDING,UPI,VND0000010
PAYMENT0000023,ACC0017680,BRW0008221,2026-02-14 05:51:53,TXN0000059767,139033.39,SUCCESS,NACH,VND0000005
PAYMENT0000024,ACC0016623,BRW0004516,2026-01-26 20:49:12,TXN0000068205,7887.61,FAILED,CASH,VND0000005
PAYMENT0000025,ACC0016158,BRW0000293,2026-05-23 15:23:07,TXN0000007142,26782.35,SUCCESS,UPI,VND0000011
PAYMENT0000026,ACC0017181,BRW0005542,2026-02-07 23:29:31,TXN0000067314,6660.28,PENDING,NACH,VND0000013
PAYMENT0000027,ACC0025045,BRW0007439,2026-06-22 11:53:42,TXN0000026155,126430.03,SUCCESS,CARD,VND0000013
PAYMENT0000028,ACC0028651,BRW0011101,2026-05-24 23:43:17,TXN0000028567,74205.3,REVERSED,CARD,VND0000001
PAYMENT0000029,ACC0001438,BRW0009880,2026-07-30 13:56:31,TXN0000028751,119423.32,SUCCESS,UPI,VND0000001
PAYMENT0000030,ACC0002796,BRW0002661,2026-04-07 17:43:51,TXN0000008881,107924.04,SUCCESS,CASH,VND0000008
PAYMENT0000031,ACC0006749,BRW0010349,2026-07-07 16:36:43,TXN0000022660,16764.69,SUCCESS,NETBANKING,VND0000003
PAYMENT0000032,ACC0025921,BRW0005481,2026-02-27 09:24:31,TXN0000033075,1416.01,FAILED,NACH,VND0000003
PAYMENT0000033,ACC0024587,BRW0010151,2026-05-14 07:30:20,TXN0000063530,74516.08,FAILED,CARD,VND0000008
PAYMENT0000034,ACC0024694,BRW0010355,2026-05-31 18:38:13,TXN0000035338,57677.55,SUCCESS,NACH,VND0000002
PAYMENT0000035,ACC0015056,BRW0010024,2026-01-10 12:44:10,TXN0000055836,37838.14,SUCCESS,NACH,VND0000008
