sms_event_id,account_id,borrower_id,event_at,message_id,event_type,template_code,provider_id
SMS_EVENT0000001,ACC0010751,BRW0009574,2026-04-24 20:57:06,SMS000022764,CLICKED,PAYMENT_LINK,VND0000010
SMS_EVENT0000002,ACC0005842,BRW0003619,2026-05-24 11:28:20,SMS000015050,DELIVERED,NOTICE,VND0000003
SMS_EVENT0000003,ACC0014253,BRW0003018,2026-03-05 20:23:20,SMS000028337,CLICKED,NOTICE,VND0000008
SMS_EVENT0000004,ACC0016374,BRW0002587,2026-05-11 04:56:15,SMS000004875,DELIVERED,DUE_REMINDER,VND0000010
SMS_EVENT0000005,ACC0000796,BRW0010499,2026-03-24 08:41:53,SMS000008899,SENT,PTP_REMINDER,VND0000007
SMS_EVENT0000006,ACC0009328,BRW0000789,2026-06-11 17:08:08,SMS000035813,CLICKED,PAYMENT_LINK,VND0000010
SMS_EVENT0000007,ACC0009624,BRW0011563,2026-07-07 13:52:06,SMS000020047,FAILED,PTP_REMINDER,VND0000011
SMS_EVENT0000008,ACC0010884,BRW0008044,2026-06-18 18:40:28,SMS000016839,SENT,DUE_REMINDER,VND0000006
SMS_EVENT0000009,ACC0015268,BRW0011110,2026-07-07 18:02:40,SMS000004261,SENT,PAYMENT_LINK,VND0000002
SMS_EVENT0000010,ACC0021694,BRW0004461,2026-02-10 08:42:24,SMS000004158,FAILED,PAYMENT_LINK,VND0000014
SMS_EVENT0000011,ACC0003558,BRW0002920,2026-06-03 14:35:19,SMS000003432,SENT,DUE_REMINDER,VND0000010
SMS_EVENT0000012,ACC0026376,BRW0006238,2026-05-05 12:22:59,SMS000013652,CLICKED,NOTICE,VND0000002
SMS_EVENT0000013,ACC0001836,BRW0001429,2026-06-30 19:17:36,SMS000009763,FAILED,PAYMENT_LINK,VND0000011
SMS_EVENT0000014,ACC0024210,BRW0007036,2026-01-18 18:00:59,SMS000020294,CLICKED,NOTICE,VND0000011
SMS_EVENT0000015,ACC0023588,BRW0010282,2026-07-08 11:00:18,SMS000033954,SENT,DUE_REMINDER,VND0000012
SMS_EVENT0000016,ACC0004880,BRW0000167,2026-05-31 05:35:54,SMS000001774,DELIVERED,PTP_REMINDER,VND0000004
SMS_EVENT0000017,ACC0019484,BRW0009321,2026-06-25 12:45:58,SMS000005337,DELIVERED,PAYMENT_LINK,VND0000013
SMS_EVENT0000018,ACC0027880,BRW0002083,2026-04-18 22:30:38,SMS000032815,SENT,NOTICE,VND0000002
SMS_EVENT0000019,ACC0027839,BRW0010850,2026-05-11 17:21:36,SMS000011323,DELIVERED,DUE_REMINDER,VND0000014
SMS_EVENT0000020,ACC0005723,BRW0008221,2026-08-01 13:17:45,SMS000003199,DELIVERED,PTP_REMINDER,VND0000008
SMS_EVENT0000021,ACC0015201,BRW0010009,2026-06-11 19:28:29,SMS000035453,CLICKED,PAYMENT_LINK,VND0000002
SMS_EVENT0000022,ACC0018541,BRW0011781,2026-03-12 22:18:03,SMS000020919,SENT,NOTICE,VND0000009
SMS_EVENT0000023,ACC0020842,BRW0000937,2026-05-21 09:59:34,SMS000023091,SENT,PAYMENT_LINK,VND0000006
SMS_EVENT0000024,ACC0025403,BRW0005840,2026-05-08 07:02:45,SMS000036380,SENT,PTP_REMINDER,VND0000009
SMS_EVENT0000025,ACC0023567,BRW0007502,2026-01-30 08:40:54,SMS000028322,CLICKED,DUE_REMINDER,VND0000011
SMS_EVENT0000026,ACC0021552,BRW0003460,2026-05-23 01:05:23,SMS000009090,FAILED,DUE_REMINDER,VND0000008
SMS_EVENT0000027,ACC0025236,BRW0011723,2026-01-01 05:48:38,SMS000016791,DELIVERED,NOTICE,VND0000015
SMS_EVENT0000028,ACC0021382,BRW0008088,2026-04-21 13:38:07,SMS000005327,SENT,NOTICE,VND0000002
SMS_EVENT0000029,ACC0014152,BRW0003827,2026-04-01 07:18:25,SMS000035815,SENT,DUE_REMINDER,VND0000014
SMS_EVENT0000030,ACC0022732,BRW0011061,2026-01-19 06:42:21,SMS000029962,SENT,PTP_REMINDER,VND0000008
SMS_EVENT0000031,ACC0011478,BRW0003488,2026-02-16 13:09:14,SMS000030004,DELIVERED,PAYMENT_LINK,VND0000007
SMS_EVENT0000032,ACC0007293,BRW0011544,2026-05-28 10:20:00,SMS000017956,CLICKED,PAYMENT_LINK,VND0000009
SMS_EVENT0000033,ACC0022572,BRW0005811,2026-07-27 05:50:11,SMS000007979,SENT,PAYMENT_LINK,VND0000010
SMS_EVENT0000034,ACC0006046,BRW0007038,2026-08-02 22:18:55,SMS000016668,DELIVERED,NOTICE,VND0000004
SMS_EVENT0000035,ACC0020811,BRW0000421,2026-02-15 14:02:45,SMS000027154,FAILED,PAYMENT_LINK,VND0000002
SMS_EVENT0000036,ACC0025638,BRW0004262,2026-05-10 12:57:22,SMS000038573,CLICKED,NOTICE,VND0000010
SMS_EVENT0000037,ACC0005143,BRW0003389,2026-05-01 15:27:41,SMS000004360,FAILED,NOTICE,VND0000007
SMS_EVENT0000038,ACC0008764,BRW0007885,2026-04-09 21:26:04,SMS000030793,FAILED,PAYMENT_LINK,VND0000008
SMS_EVENT0000039,ACC0020142,BRW0002039,2026-01-05 18:35:50,SMS000030011,CLICKED,DUE_REMINDER,VND0000006
SMS_EVENT0000040,ACC0022094,BRW0010341,2026-04-07 05:51:17,SMS000032353,CLICKED,PTP_REMINDER,VND0000001
SMS_EVENT0000041,ACC0014719,BRW0001821,2026-01-10 11:52:34,SMS000039223,FAILED,DUE_REMINDER,VND0000008
SMS_EVENT0000042,ACC0006361,BRW0009535,2026-06-15 16:16:15,SMS000012090,FAILED,PAYMENT_LINK,VND0000013
SMS_EVENT0000043,ACC0002761,BRW0000445,2026-06-22 06:17:16,SMS000009356,DELIVERED,PAYMENT_LINK,VND0000005
SMS_EVENT0000044,ACC0002392,BRW0008747,2026-03-11 04:38:15,SMS000020920,CLICKED,PAYMENT_LINK,VND0000002
SMS_EVENT0000045,ACC0024768,BRW0003677,2026-02-17 00:18:41,SMS000021756,SENT,DUE_REMINDER,VND0000013
SMS_EVENT0000046,ACC0029893,BRW0009858,2026-04-16 20:11:41,SMS000019769,SENT,DUE_REMINDER,VND0000013
SMS_EVENT0000047,ACC0011184,BRW0009378,2026-07-03 12:54:52,SMS000022077,DELIVERED,NOTICE,VND0000001
SMS_EVENT0000048,ACC0022674,BRW0004970,2026-05-24 05:15:12,SMS000014418,CLICKED,PTP_REMINDER,VND0000002
SMS_EVENT0000049,ACC0014679,BRW0004911,2026-07-31 14:13:14,SMS000003261,FAILED,DUE_REMINDER,VND0000003
SMS_EVENT0000050,ACC0000421,BRW0011528,2026-02-18 21:22:58,SMS000021369,FAILED,PTP_REMINDER,VND0000012
SMS_EVENT0000051,ACC0022729,BRW0004791,2026-02-15 02:23:17,SMS000015645,FAILED,NOTICE,VND0000005
SMS_EVENT0000052,ACC0019270,BRW0006745,2026-07-17 09:39:19,SMS000006579,SENT,NOTICE,VND0000007
SMS_EVENT0000053,ACC0012266,BRW0010226,2026-03-15 22:03:12,SMS000019948,FAILED,PTP_REMINDER,VND0000004
SMS_EVENT0000054,ACC0001136,BRW0006691,2026-05-17 11:19:13,SMS000026875,FAILED,PTP_REMINDER,VND0000009
SMS_EVENT0000055,ACC0028959,BRW0011054,2026-01-26 09:45:21,SMS000012841,DELIVERED,PTP_REMINDER,VND0000008
SMS_EVENT0000056,ACC0003092,BRW0004772,2026-08-07 14:05:17,SMS000031220,SENT,PTP_REMINDER,VND0000011
SMS_EVENT0000057,ACC0022065,BRW0008122,2026-03-07 02:18:54,SMS000023458,FAILED,NOTICE,VND0000007
SMS_EVENT0000058,ACC0011974,BRW0000840,2026-06-22 12:11:02,SMS000037359,FAILED,NOTICE,VND0000012
SMS_EVENT0000059,ACC0004539,BRW0000526,2026-07-08 15:11:46,SMS000001836,CLICKED,DUE_REMINDER,VND0000014
SMS_EVENT0000060,ACC0014415,BRW0010022,2026-07-20 14:26:31,SMS000027609,SENT,PTP_REMINDER,VND0000007
SMS_EVENT0000061,ACC0024797,BRW0001268,2026-07-17 13:01:19,SMS000004695,FAILED,NOTICE,VND0000015
SMS_EVENT0000062,ACC0026130,BRW0010228,2026-07-28 15:28:44,SMS000000304,DELIVERED,DUE_REMINDER,VND0000004
SMS_EVENT0000063,ACC0001545,BRW0011163,2026-03-29 02:16:59,SMS000038030,FAILED,PAYMENT_LINK,VND0000007
SMS_EVENT0000064,ACC0012926,BRW0009998,2026-07-25 13:22:13,SMS000013219,SENT,PTP_REMINDER,VND0000005
SMS_EVENT0000065,ACC0024948,BRW0003514,2026-06-04 01:44:34,SMS000001537,CLICKED,PAYMENT_LINK,VND0000013
SMS_EVENT0000066,ACC0012028,BRW0002852,2026-01-02 01:02:48,SMS000017394,DELIVERED,DUE_REMINDER,VND0000012
SMS_EVENT0000067,ACC0007960,BRW0010269,2026-08-01 23:52:24,SMS000030264,CLICKED,PAYMENT_LINK,VND0000006
SMS_EVENT0000068,ACC0008280,BRW0011097,2026-07-26 22:09:43,SMS000033877,CLICKED,PTP_REMINDER,VND0000006
SMS_EVENT0000069,ACC0005656,BRW0001293,2026-07-10 02:36:49,SMS000011845,CLICKED,PTP_REMINDER,VND0000009
SMS_EVENT0000070,ACC0004352,BRW0009748,2026-02-08 06:40:56,SMS000025526,DELIVERED,PTP_REMINDER,VND0000004
SMS_EVENT0000071,ACC0019071,BRW0006476,2026-01-08 06:01:32,SMS000032619,FAILED,DUE_REMINDER,VND0000015
SMS_EVENT0000072,ACC0027066,BRW0004896,2026-06-14 11:23:04,SMS000005807,FAILED,PAYMENT_LINK,VND0000001
SMS_EVENT0000073,ACC0022118,BRW0005406,2026-01-05 16:22:42,SMS000011757,DELIVERED,PAYMENT_LINK,VND0000002
SMS_EVENT0000074,ACC0013317,BRW0011391,2026-05-17 12:26:20,SMS000031348,SENT,PTP_REMINDER,VND0000001
SMS_EVENT0000075,ACC0017298,BRW0000262,2026-02-26 01:05:57,SMS000003670,SENT,DUE_REMINDER,VND0000001
