vendor_id,vendor_name,vendor_account_id,timezone,status,schema_version
VND0000001,Airtel,VAC342762,Asia/Kolkata,INACTIVE,v3
VND0000002,Exotel,VAC456766,UTC,INACTIVE,v3
VND0000003,Twilio,VAC074211,UTC,INACTIVE,v3
VND0000004,Twilio,VAC321507,UTC,ACTIVE,v1
VND0000005,Twilio,VAC976733,Asia/Kolkata,ACTIVE,v1
VND0000006,Knowlarity,VAC544470,UTC,ACTIVE,v2
VND0000007,TataTele,VAC997592,UTC,INACTIVE,v1
VND0000008,Airtel,VAC496672,Asia/Kolkata,INACTIVE,v3
VND0000009,Exotel,VAC382568,Asia/Kolkata,INACTIVE,v1
VND0000010,Airtel,VAC172916,UTC,INACTIVE,v1
VND0000011,Airtel,VAC461665,UTC,ACTIVE,v3
VND0000012,Airtel,VAC583104,UTC,INACTIVE,v1
VND0000013,Knowlarity,VAC138790,Asia/Kolkata,ACTIVE,v1
VND0000014,Knowlarity,VAC547425,Asia/Kolkata,INACTIVE,v3
VND0000015,TataTele,VAC225367,Asia/Kolkata,ACTIVE,v2
