whatsapp_event_id,account_id,borrower_id,event_at,message_id,event_type,template_code,provider_id
WHATSAPP_EVENT0000001,ACC0006134,BRW0007859,2026-02-27 17:49:38,MSG000008171,FAILED,FIELD_VISIT,VND0000008
WHATSAPP_EVENT0000002,ACC0027479,BRW0003963,2026-02-09 11:55:18,MSG000000667,FAILED,PTP_01,VND0000003
WHATSAPP_EVENT0000003,ACC0008356,BRW0008340,2026-07-08 05:16:13,MSG000023608,DELIVERED,PAYMENT_LINK,VND0000001
WHATSAPP_EVENT0000004,ACC0024727,BRW0001572,2026-05-20 19:48:52,MSG000045438,DELIVERED,PAYMENT_LINK,VND0000010
WHATSAPP_EVENT0000005,ACC0024918,BRW0003130,2026-01-10 10:37:24,MSG000041041,READ,LEGAL_NOTICE,VND0000015
WHATSAPP_EVENT0000006,ACC0005604,BRW0011815,2026-01-25 03:09:28,MSG000041619,FAILED,FIELD_VISIT,VND0000011
WHATSAPP_EVENT0000007,ACC0017199,BRW0006945,2026-04-11 18:37:05,MSG000035477,PAYMENT_CLICK,PTP_01,VND0000009
WHATSAPP_EVENT0000008,ACC0001362,BRW0011138,2026-03-14 03:43:01,MSG000011302,REPLIED,REMINDER_01,VND0000010
WHATSAPP_EVENT0000009,ACC0002565,BRW0001826,2026-03-04 16:41:19,MSG000011376,SENT,REMINDER_01,VND0000009
WHATSAPP_EVENT0000010,ACC0023647,BRW0006126,2026-01-17 16:09:00,MSG000015587,DELIVERED,LEGAL_NOTICE,VND0000007
WHATSAPP_EVENT0000011,ACC0014669,BRW0001920,2026-04-12 06:48:49,MSG000028922,READ,PTP_01,VND0000003
WHATSAPP_EVENT0000012,ACC0006308,BRW0007483,2026-05-01 18:37:27,MSG000027020,SENT,REMINDER_01,VND0000007
WHATSAPP_EVENT0000013,ACC0006979,BRW0005460,2026-02-20 18:24:20,MSG000002101,FAILED,REMINDER_01,VND0000003
WHATSAPP_EVENT0000014,ACC0020043,BRW0001696,2026-05-29 19:40:19,MSG000004228,REPLIED,PAYMENT_LINK,VND0000011
WHATSAPP_EVENT0000015,ACC0014470,BRW0010382,2026-07-09 19:00:09,MSG000035712,SENT,PTP_01,VND0000011
WHATSAPP_EVENT0000016,ACC0015512,BRW0003088,2026-06-15 01:55:14,MSG000017109,SENT,PTP_01,VND0000008
WHATSAPP_EVENT0000017,ACC0002049,BRW0009744,2026-06-06 19:57:45,MSG000043361,FAILED,PAYMENT_LINK,VND0000009
WHATSAPP_EVENT0000018,ACC0020836,BRW0005893,2026-04-20 22:47:06,MSG000030429,FAILED,PTP_01,VND0000006
WHATSAPP_EVENT0000019,ACC0000014,BRW0008604,2026-03-12 00:01:40,MSG000044215,SENT,LEGAL_NOTICE,VND0000002
WHATSAPP_EVENT0000020,ACC0021030,BRW0003555,2026-06-15 03:25:49,MSG000007707,DELIVERED,PTP_01,VND0000012
WHATSAPP_EVENT0000021,ACC0008744,BRW0005989,2026-07-12 03:56:23,MSG000041345,PAYMENT_CLICK,PTP_01,VND0000014
WHATSAPP_EVENT0000022,ACC0009862,BRW0001768,2026-04-16 14:47:11,MSG000021094,DELIVERED,REMINDER_01,VND0000013
WHATSAPP_EVENT0000023,ACC0008067,BRW0004068,2026-03-17 06:54:19,MSG000014969,SENT,REMINDER_01,VND0000005
WHATSAPP_EVENT0000024,ACC0017660,BRW0011380,2026-02-08 12:02:36,MSG000034886,PAYMENT_CLICK,FIELD_VISIT,VND0000014
WHATSAPP_EVENT0000025,ACC0015014,BRW0006640,2026-04-13 02:32:38,MSG000020160,PAYMENT_CLICK,PAYMENT_LINK,VND0000010
WHATSAPP_EVENT0000026,ACC0025504,BRW0000426,2026-01-27 02:51:28,MSG000016517,REPLIED,FIELD_VISIT,VND0000002
WHATSAPP_EVENT0000027,ACC0013849,BRW0000272,2026-02-23 08:27:35,MSG000014557,SENT,LEGAL_NOTICE,VND0000013
WHATSAPP_EVENT0000028,ACC0025939,BRW0004030,2026-06-15 09:03:09,MSG000027882,REPLIED,PAYMENT_LINK,VND0000015
WHATSAPP_EVENT0000029,ACC0029483,BRW0010625,2026-03-23 23:52:32,MSG000043594,FAILED,REMINDER_01,VND0000013
WHATSAPP_EVENT0000030,ACC0015852,BRW0001668,2026-05-13 05:24:09,MSG000015294,READ,FIELD_VISIT,VND0000015
WHATSAPP_EVENT0000031,ACC0006074,BRW0000832,2026-06-07 17:27:45,MSG000002594,READ,PTP_01,VND0000011
WHATSAPP_EVENT0000032,ACC0028709,BRW0008612,2026-06-06 07:26:09,MSG000033536,PAYMENT_CLICK,FIELD_VISIT,VND0000008
WHATSAPP_EVENT0000033,ACC0000697,BRW0005879,2026-05-01 02:58:06,MSG000046159,PAYMENT_CLICK,LEGAL_NOTICE,VND0000014
