dpd,recovery,accounts,recovery_cr,recovery_per_account
0,117461931.08,1220,11.746193108,96280.27137704918
1,117021456.5,1161,11.70214565,100793.67484926787
5,123297413.22,1222,12.329741322,100898.04682487725
15,116317879.83,1178,11.631787983,98741.83347198642
30,114903041.15,1158,11.490304115,99225.42413644215
45,123185700.89,1257,12.318570089,97999.76204455052
60,129591382.19,1267,12.959138219,102282.06960536701
75,119957596.2,1215,11.995759620000001,98730.53185185186
90,118778060.17,1221,11.877806017000001,97279.32855855855
120,123404356.15,1225,12.340435615,100738.24991836735
180,111665147.26,1160,11.166514726,96263.05798275862
